Equipment Description,Manufacturer,Model,Problem ,Work Done
Dental Chair,Confident,Mookambika,Leakage of water from handpiece and board was reported ,"The machine was inspected and the leakage in the board was due to the breakage of pipes of the 2 handpieces. After the pipes were replaced, there was still water flowing through handpiece which was found due to the defective WRV valve. It was replaced and also the connectors were replaced."
Laryngoscope,Artimed,,device was reported as non-functional.,"The connection between the handle and the blade was found to be compromised. Specifically, the hinge pin mechanism, which holds the handle and the blade, was misaligned.  It was properly aligned and the device was restored to full functionality."
Hysterescope,N/A,N/A,Device reported as non-functional.,"Upon inspection, the scope provides blurry vision and color difference, making it difficult to identify tissues.  The  scope seems to have problem in the internal  optics due to internal fluid ingress. The device needs replacement."
BiPAP Machine,Byond,B19,Patches in the display  and machine non-functional.,"Upon inpection, the display was found to be damaged due to water ingress. The power cable was tested and found to be functional. The motor was tested and it was found to be non-functioning. The motor was tested and found to be functional but the air pressure was not being generated. Also, the temperature was also found to not being risen. The problem may be in the board  and the software which could not be resolved. "
X-Ray Machine,Allengers,MARS 50,Device reported as non-functional.,"The device was unable to expose x-rays. The motherboard, inverter drive board and IGBT arrays(2) were found to be faulty and those parts were replaced. After this, tests were performed and the device is able to provide exposure. Now, the device is functional."
Hysteroscope,N/A,N/A,Device was reported as non-functional,"The device was reported as not able to transmit light and reduced image clarity making it difficult in the procedure. A thorough inspection was performed and found that the optic fiber was found to be damaged. Also, the lens had mineral deposits which could not be removed.
The device requires replacement."
Dental Chair,Confident,Mookambika,Micromotor reported as non-functional.,A wire connection was found to have been disconnected in the board which was reconnected. All other parameters were found to be good. The micromotor was tested and then verified to be fully functional.
Sphygmomanometer,N/A,N/A,Device reported as non-functional.,The indicator was found to be misaligned. It was fixed in the zero position. 
Syringe Pump,Hawkmed,HK-400,Device was reported as non-functional.,"The metal part connecting the sensor in syringe holder mechanism was found to be broken, which was replaced from another non-functional one. Then, calibration was porformed after which the machine was restored to full functionality."
Anesthesia Machine,GE,9100c NXT,leak test failure,"Upon thorough inspection, a small hole was observed in the breathing bag. The bag was replaced after which the leak test passed successfully."
ECG Machine,Edan,SE-1200 Express,The device was reported as not showing the v1-v6 signals.,"Upon inspection, the ECG signal display format had been changed to MANU mode, the mode was changed back to auto mode where it showed the signals in standard format."
Dental Chair,Confident,Mookambika,The air rotor was reported as leaking water when the foot switch was turned off,The valve was checked and found to be working well. the foot switch was found to be slightly stiff due to which when the foot switch was left it took time to be off. The footswich was then lubricated and cleaned.
Autoclave,Hansin,9041,Device reported as non-functional,"Upon inspection, err 5 was being displayed which was found to be due to the blockage in the pipes leading to the chamber. The pipes and associated valves were cleaned and the blockages were cleared. After this, the machine was tested and verified to be fully functional."
Patient Monitor,Hwatime,H8,No ECG signal was being displayed,The ECG probe was found to be functional. Further inspection revealed that the ECG connector was loosely connected and not making proper contact. The connector was properly connected. 
Ventilator,Puritan Bennet,840,The machine was checked for its functionality.,The SST and EST were performed and passed successfully.
Ventilator,Drager,Savina 300,The machine was tested for its functionality,"The pre-use test was performed and all the tests such as device check, breathing circuit tests passed successfully."
Dental Chair,Confident,Mookambika,Micromotor was reported as non-functional,The carbon brushes were found to be depleted and were replaced.
Laparoscopic Tower,,,Display showed different color image.,"The settings of the video-processor, the monitor were adjusted and AWB was performed."
Patient Monitor,Idottmed ,IT-12,NIBP and SpO2 not functioning,The NIBP tube inside the device was found to be deatached which was reconnected properly. The SpO2 connector was found to be defective which was replaced.
X-Ray Machine,Epsilon,EP-100,The FPD was not transitioning to ready state ,FPD battery was found to be drained which was recharged and reinserted. The network configuration was then examined. The WLAN connection was reset and a full system initialization was performed.
TMT Machine,Allengers,Gemini-A-DX,Speed to high in the initial stages for elderly patients,As the standard protocols could not be altered new protocol was created as per staffs recommeded initial speed and the speed in different stages were kept same as that of the standard protocols.
Dental Chair ,Confident,Mookambika,Water leakage observed from sink area ,The sink drain pipe was found to be misaligned which was properly realigned. All the pipes were found to be intact.
C-Arm Machine,Kiran,Elite,Blank display and no image visible on the machine during use.,A thorough inspection was conducted in which all the hardware and software components were found to be functioning properly. The switch was found to be pressed in an incorrect way for which the staffs were given user training.
Nebulizer,Elmasmar,CN02,Device was reported as non-functional.,The filter was found to be clogged which was thoroughly cleaned. The motor was also cleaned and lubricated properly. After this the mist was properly being formed.
Suction Irrigation Cannula,,,The device was reported as non-functional.,The suxtion valve was found to be stuck due to acumulated debris. The valve was taken out carefully and properly cleaned after which it was lubricated. The it was reassembled and checked.
Anesthesia Machine,GE,9100c NXT,O2 Sensor Calibration failure,"Upon inspection the connector was found to have accumulated debris which was properly cleaned and the O2 sensor was properly connected. Then,the O2 calibration was successful."
Scrub Station,,,The tap was not functioning on sensor.,"The connection of the solenoid valve was found to be improper, which was properly secured."
Dental Chair,Confident,Mookambika,Leakage in the handpieces.,"The air and water pipes of the air rotor were found to have leakage which were replaced. Then, water resistance valve was found to be leaking water though the air rotor was not in use. The valve was lubricated and cleaned but did not work. The valve was also replaced."
Dental Chair ,Marathon,M33E,A new micromotor was installed,A new micromotor was installed and checked. It is fully functional.
CO2 Insufflator,,,The device was reported as not being able to mainted flow during the surgery,The device was thoroughly assessed and found to be functioning properly but the regulator in the cylinder was defective and it was replaced.
Laryngoscope,,,The device was reported to have flickering light,The bulb was inspected and found to be functional and though it was properly connected it was having the same problem. Connector was found to be loosely aligned which was secured properly and the device was restored back to functionality.
Autoclave Machine,,,Device reported as non-functional.,"The contactor was inspected and found to be functional. However the live wire of the power cord was found to be burnt which was replaced. The heater, temperature sensor and the PID were also verified to be functional. After that, the machine was checked and found to be functional."
Patient Monitor,Edan,X12,The ECG signal was reported as not being displayed,The probe was checked and properly connected to the device and the ECG signals were being displayed. The machine and the ECG cable was cross-verified and found to be functional.
OT Bed,Jin Sol,JS-001,The bed was reported as non-functional.,"The bed was not functioning when the foot pedals were used. The oil was found to be drained due to leakage in the pipe and the hydrulic due to loose gasket. The part of the pipe was cut nad the remaining portion was reattached. The leakage through the hydraulic was also sealed. Then, the bed was restored back to functionality."
Patient Monitor,Edan,X12,SpO2 not functioning.,The SpO2 probe was inspected and verified to be defective. The SpO2 probe was replaced with the new one.
Patient Monitor,Edan,X12,The SpO2 probe was unavailable,"A new SpO2 probe was placed, checked and verified to be functional."
Syringe Pump,Hawkmed,HK-400,Device reported as non-functional.,"The device was inspected and the syringe off alarm was being displayed. The syringe was also not being calibrated due to occlusion alarm. Then, the machine as disassembled and the syringer holder's connection to the sensor was found to be misaligned, which was properly aligned. Then, the motor was also found to be stuck which was properly cleaned and lubricated. After that the syringe was being detected and the calibration was successful."
Laparoscopic Tower,,,The connector of the camera head was loosely fitted and color issue was repeated.,The connector was resecured. The color settings were readjusted.
Autoclave Machine,,,Device reported as non-functional.,"The heater, PID and the sensor were inspected and found to be functional. However, the contactor was found to have been short circuited with visible signs of damage to the pins due to burning. The contactor was replaced with the new one, after which the machine was restored back to functionality."
Slit Lamp,Optel,,Device reported as non-functional.,The bulb was found to be damaged which was replaced with the new one.
Blood Culture System,Bactec,BD-40,The tablet was not being on. The power cord was inspected and found to be not working. The power cord was replaced with the new one.,
Patient Monitor,Hwatime,H8,NIBP was reported as non-functional,"The NBP was measured and a 'loose cuff' alarm was being displayed.  The cuff was also found to have a leakage. A functional cuff was used to measure NIBP, but still the alarm appeared. The monitor was thoroughy inspected and the NIBP motor, valve and the sensors were cleaned and reset. The the NIBP measurement was successful and the device was restored t its functionality."
Oxygen Concentrator,Invacare,,Device was reported as non-functional,The device was inspected and found to have insufficient oxygen flow. The filter and the pipes were cleaned. The device was then tested and found to give the sufficient flow.
Sphygmomanometer,,,The device was reported as non-functional.,The leakage was observed from the air release valve even when it was tight. The spring was realigned properly.
Patient Monitor,Hwatime,H8,The device was reported as non-functional.,"The battery was tested and found to be functioning. The NIBP measurement was non-functional due to loosely connected tubing causing leakage, which was properly reconnected. The SpO2 was also not being detected, for which one of  the  wire in the connector was resoldered. Then, the SpO2 reading was also being displayed."
Patient Monitor,Hwatime,H8,The device was reported as non-functional.,"The SpO2 connector was found to be loosely connected to the board and not fitted properly in the housing. The connection was reset and properly aligned.
The ECG reading was also not being displayed for which the connector was reset."
OT Bed,Desco India,,Bed was reported as non-functional,"Upon inspection, the up and down movement was found to be not functioning on remote. The main switch connection was reset."
Blood Coagulation Analyzer,Human GmbH,Humaclot Junior,Device reported as providing higher values.,"The device was calibrated and the optical components were cleaned, but the results were still higher. The machine was disassembled, reset and recalibrated. But, the problem persisted. The reagent was assessed and cross-verified to be defective and new reagent was used but the problem still persisted. The machine could not be repaired."
Patient Monitor,General Meditech,G3D,Devices reported as non-functional,"The device was thoroughly inspected. The battery backup was found to be drained. The SpO2 was not being displayed, in which the connector was found to be functional, o the issue was verified to be in the board. Also, the NIBP measurements were found to be inaccurate, beyond the acceptable range. The issue maybe in the board with the sensor."
Patient Monitor,General Meditech,G3D,Device reported as non-functional,"The device was thoroughly inspected. The battery was found to be fully drained and could not be recharged. The SpO2 was not being displayed. The probe and the connector were checked and verified to be functional. The issue was found in the board. The ECG reading was also not being displayed and issue was found in the connector of the board. Similarly, the NIBP readings were inaccurate. Several attempts were made to resolve the issues but the deviced could not be restored back to functionality."
Patient Monitor,General Meditech,G3D,The device was reported as non-functional.,The device was thoroughly assessed. The battery was found to be fully drained and could not be recharged. The SpO2 was not being displayed for which connector was found to be functional but the readings were not being displayed. The NIBP measurement was aalso found to be inaccurate. The issues were traced back to the board. The device could not be repaired.
Patient Monitor,BPL,MPM 5633,Device reported as non-functional.,"A thorough inspection was performed in which the SpO2 and NIBP were found to be non-functional. Also, the battery was found to be drained and can't be recharged.The device was verified as being beyond repair."
CO2 Insufflator,N/A,N/A,Device reported as non-functional.,The pressure regulator had become faulty due to which the flow was not being maintained. The pressure regulator was replaced and the other components such as solenoid valve was repaired and the high pressure tubings were replaced. 
Dental Chair,Confident,Mookambika,Water leakage from the basin area was reported,"The basin area was investigated and found that it was loosely fitted due to loose screw, causing water leakage instead of water being drained. The screws were tightenedand the basin was aligned properly."
Hot Water Bath,N/A,N/A,The device was reported as non-functional,The heater coil was found to be damaged. The power cord was checked and found to be functional.
Larygoscope,GPC,MAC 2204,THe light was flickering when the blade was moved,The  connector  was found to be have disengaged due to which the connection was not intact. The connector was carefully realigned.
Patient Bed,Timotion,,The head-up and down movement was non-functional.,The relay was being triggered but the actuator was unable to move. The actuator's connection was reset.
Patient Monitor,Wuhan Union,UN8000E,Device reported as non-functional,"The machine was thoroughly inspected, in which the battery was tested and found to hold an acceptable charge. The battery was recharged and found to have provided proper backup. During functionality checks, the SpO2 was not being detected. The connector was found to have a discontinuous wire which was reconnected via soldering.  Additionally, the NIBP function was showing a 'loose cuff' alarm. The issue was traced to a leakage in the internal pipe which wa replaced using a part from another non-functional monitor. The ECG nad temperature functions were also checked and found to be functioning."
Digital BPM,MHI,N/A,Device reported as nonfunctional.,The device was tested and 'Error P' was being displayed stopping the measurement. The cause of the error was identified as the leakage in the cuff. The cuff was replaced and the device was restored back to functionality.
Pulse Oximeter,N/A,N/A,Device reported as non-functional.,Upon inspection the 'sensor error' was being displayed during measurement which was traced back to the probe's connector pins being broken. The probe was replaced with a new one.
Dental Chair,Confident,Mookambika,Leakage from the basin area,The screw holding the basin was found to be loosing causing the basin to tilt resulting in water leakage. The screw was tightened. The basin was found to be crack free and all other pipes were also found to be in a good condition. The issue has been resolved.
Laryngoscope,GPC,,Device was reported as non-functional,"Upon inspection, the light was found to be flickering when the blade was moved, due to loose contact of the connector with the battery. The connector was properly readjusted to solve the issue. "
Patient Monitor,Votem,VP-1000,Device reported as non-functional,"The device was thoroughly inspected. The battery was found to be in proper condiiton which provided battery backup after charging. The SpO2 was not being displayed as the light was also not visible in the probe. The issue was traced back t detached connection of the connector to the board. The connector was properly attached to the board, after which the functionality was restored. NIBP, ECG and temperature were found to be functional."
Patient Monitor,Votem,VP-1200,Device was reported as non-functional,"The battery was checked and found to be in a good condition. It was recharged and used. NIBP was not working properly. The connector was tested to be functioning well. However, the pipe was found to have leakage. The part wasa cut and the remaining part was reconnected.
ECG, SpO2 and Temperature were found to be functional."
Oxygen Concentrator,Invacare,N/A,The device was reported as non-functional.,"Upon inspection, the device stopped automatically after few seconds of being switched on triggering an alarm. The alarm was associated with the oxygen purity being less than 73%. The board and the seive beds were cross verified. The  sensor and board was verified as being functional. The zeolite in the seive bed was found to be unable to filter air properly. "
USG Machine,Sonoscape,E2,Device was unable to be charged.,The power was loosely fitted with the SMPS due to which the issue had occured. The connection was made secure and the charging resumed. 
Oxygen Concentrator,Engage Nepal,QJZY10La,Device reported as non-functional.,"Upon inspection, the loud noise was being heard when the device was run. The noise was traced back to the compressor exhausting excess air due to pressure built up in the compressor. The zeolite being damaged due to moisture and not being able to filter or pass the air was identified as the cause. The zeolite needs replacement. The device can't be brought back to functionality otherwise."
Bronchoscope,Fujifilm,,Color of the image was reported as being yellowish,"The image was yellowish on initial observation. The lamp  was checked and found to be functional with lsmp life 138h. The endoscope was also used to determine the source of the problem. The image was totally good from the endoscope. So, the bronchoscope was identified as the source of the issue. The camera and the channels were thoroughly cleaned and leak test was performed. "
Spirometer,Recorders and Medicare Systems,RMS Helios 401,The spirometer failed to detect the breaths during PFT,"The device was reset and the discontinuous wire was reconnected. After this, a test was performed which was able to dectect breaths."
Hot Water Bath,N/A,N/A,Water leakage from the unit,"On inspection, water leakage was traced to the heater coil insertion point. The root cause was determined as a gasket misalignment, resulting in improper sealing. The gasket was realigned properly and additional sealing was also performed to prevent the recurrence of leakage during operation."
CO2 Insufflator,MD Tech,30L,A new device was installed,A new CO2 insufflator device was installed. A series of functional tests were performed and user training was provided.
Patient Monitor,Edan,X12,Artifacts observed in the ECG signal,The monitor settings were properly readjusted and the earthing cable was reconnected properly.
Patient Monitor,Hygeia,EVA-N,Inaccurate NIBP,"The cuff and the hose pipe were checked and found to be intact without any leakage. Then the device was disassmebled and the connections were reset and the pressure transducer was reset.

Then, it was checked using prosim 8 analyser.
The pressure varies now by 5-6, units which is tolerable."
Patient Bed,Timotion,,Head up and down movement failure ,The remote control was found to trigger the relay but the actuator was not causing the movement of the head side. The connection of the actuator to the board was reset and the dirt accumulated in the hinges were cleaned.
Patient Bed,Timotion,,Head up and down movement difficult,"Upon inspection, the screws were found to be loosely fitted. The screws were tightened properly. The dust accumulated in the hinges were cleaned and the parts were lubricated. "
Autoclave ,N/A,Horizontal,Device reported as non-functional.,The device had been non-functional due to gasket being detached/ broken  which was properly reattached. Then it was fitted and the machine was brought back to functionality.
Oxygen Plant,Meditech,,The water leakage was observed from the water-out pipe ,"The problem was resolved by sealing the pipe properly. Also, there was leakage at the connection point of the auto drain valve due to loose gasket, which was sealed properly."
Autoclave,N/A,,Device reported as non-functional.,"Upon inspection, the gasket was found to broken, which rendered the machine unusable. The gasket was repaired and reinstalled. After repair, no leakage was observed and machine was returned back to functionality."
Patient Monitor,Hwatime,H8,Functionality test was performed,"The device was analysed using fluke prosim 8 analyzer. The ECG and RR readings were found to be accurate.The SpO2 readings were accurate with occasional fluctuations of 1 unit, which is acceptable. The NIBP readings were not fully accurate, showing fluctuations of 5-8 units, but remain within tolerable limits."
Patient Monitor,Hwatime,H8,Functionality test was performed after repair,"The device was analysed using fluke prosim 8 analyzer. The ECG and RR readings were found to be accurate.The SpO2 readings were accurate with occasional fluctuations of 1 unit, which is acceptable. The NIBP readings were not fully accurate, showing fluctuations of 5-8 units, but remain within tolerable limits."
Patient Monitor,Wuhan Union Medical,UN9800E,Functionality test was performed,"The device was analysed using fluke prosim 8 analyzer. The ECG and RR readings were found to be accurate. The SpO2 readings were accurate with occasional fluctuations of 1 unit, which is acceptable. The NIBP readings were not fully accurate, showing fluctuations of 5-8 units, but remain within tolerable limits."
Patient Monitor,Votem,VP-1000,Functionality test was performed.,"The device was analysed using fluke prosim 8 analyzer. The ECG and RR readings were found to be accurate. The SpO2 readings were accurate with occasional fluctuations of 1 unit, which is acceptable. The NIBP readings were not fully accurate, showing fluctuations of 5-8 units, but remain within tolerable limits."
Spirometer,Recorders and Medicare Systems,RMS Helios 401,Device reported as non-functional,"The spirometer was unable to detect breaths for which the device connections were reset and the sensor was cleaned properly. After this, the device was restored to its functionality."
Patient Monitor,Edan,X12,Device not working on battery power.,"The device was recharged for several hours and tested but the device switched off immediately after the ac was removed. The battery pack was tested and found to have no charge. The battery backup needed replacement, which was performed. After this, the device functions on battery backup."
Patient Monitor,Edan,X12,The device is not operating on battery backup,"The device was recharged for several hours and tested but the device switched off immediately after the ac was removed. The battery pack was tested and found to have no charge. The battery backup needed replacement, which was performed. After this, the device functions on battery backup."
Patient Monitor,Edan,X12,NIBP not being displayed,"The initial inspection reealed that the pipe connecting hose to the cuff had been damaged causing leakage. The pipe was replaced with other. Then, NIBP was tested and the value was being displayed on the screen."
Patient Monitor,Hwatime,H8,ECG was not being displayed.,"Upon inspection, the cable had 3 leads but the 5 lead configuration had been selected on the screen. The confiuration was changed back to 3 leads. Then, the ECG signal was restoted."
Biosafety Cabinet,Vision Scientific,N/A,Device was reported as non-functional,The unit was not powering on. The cable and the power supply was checked and found to be good. The MCB was found to be down which was switched on. The wire connection to the fan and UV were also reconnected properly.
Microscope,Olympus,,The stage clip was reported as being unable to slide.,"The dust and debris was found to be accumulated in the stage and around the stage clip. it was thoroughly cleaned. The screw was also lubricated, cleaned and properly reattached."
Electro Surgical Unit,Covidien,Force FX,Bipolar mode not functioning,"The unit was thoroughly inspected in which the foot switch was found to be functional but there was no output from the electrode. The metal connector at the electrode end was found to be covered with debris, causing improper contact and failure of bipolar function. It was cleaned properly and restored back to functionality."
Fetal Doppler,N/A,FD-200A,Low sound and noise interference,The speaker was observed to be displaced from its original position and covered with dirt. It was cleaned and repositioned correctly.
Pulse Oximeter,Xuzhou,YK-81A,The dispay was too dim.,The setting for the brightness was changed to higher level.
Fetal Doppler,Mehar,Ready dopp mark II,Device reported as non-functional.,"The device was thoroughly inspected. The device immediately shut down due to drained battery, which was properly recharged. The sound was found to be very low and had noise interference. The unit was disassembled,  connections were reset and the dust accumulated in the speaker was cleaned properly. "
Patient Bed,Timotion,,The bed was reported as non-functional.,The bed was thoroughly inspected and it was found that the remote was able to trigger the relay but it was not moving the head section of the bed. The connections in the bed were reset and the screw joining actuator to the bed was found to be broken. The broken screw was also replaced.
Patient Monitor,Edan,X12,IBP was reported as non-functional.,The device was throughly inspected. The cable was verified to be functional. It was found that the module setup had not bee selected for the required parameter. The module setting were configured correctly. The IBP parameter were displayed along with the measured values.
Patient Monitor,Edan,X12,IBP reported as non-functional,The device was throughly inspected. The cable was verified to be functional. It was found that the module setup had not bee selected for the required parameter. The module setting were configured correctly. The IBP parameter were displayed along with the measured values.
Patient Monitor,Edan,X12,IBP reported as non-funcional,The device was throughly inspected. The cable was verified to be functional. It was found that the module setup had not bee selected for the required parameter. The module setting were configured correctly. The IBP parameter were displayed along with the measured values.
Air Rotor,Myricko,WJ-122,Device reported as non-functional.,"Upon inspection, the burr was not locking properly and remained loose. In cases where it locked, it was very difficult to remove the burr. The cartridge was identified as loosec which was  replaced with a new one."
Oxygen Concentrator,Engage Nepal,QJZY10La,The device was reported as non-functional.,"Upon inspection, the loud noise was being heard when the device was run. The noise was traced back to the compressor exhausting excess air due to pressure built up in the compressor. The zeolite being damaged due to moisture and not being able to filter or pass the air was identified as the cause. The zeolite needs replacement. The device can't be brought back to functionality otherwise."
Oxygen Concentrator,Engage Nepal,QJZY10La,Device reported as non-functional.,"Upon inspection, the loud noise was being heard when the device was run. The noise was traced back to the compressor exhausting excess air due to pressure built up in the compressor. The zeolite being damaged due to moisture and not being able to filter or pass the air was identified as the cause. The zeolite needs replacement. The device can't be brought back to functionality otherwise."
Oxygen Concentrator,Engage Nepal,,Device reported as non-functional.,"The device was thoroughly inspected. The device produced a loud noise frequently which was traced  back to the compressor exhausting the excess air due to overpressure. The zeolite was found to be in a powder form  and unable to fiter and pass the air leading to overpressure . Hence, the seive bed(zeolite) requires replacement or else the device can't be brought back to functionality."
Oxygen Concentrator,Engage Nepal,,Device reported as non-functional,"The device was thoroughly inspected. The device produced a loud noise frequently which was traced  back to the compressor exhausting the excess air due to overpressure. The zeolite was found to be in a powder form  and unable to fiter and pass the air leading to overpressure . Hence, the seive bed(zeolite) requires replacement or else the device can't be brought back to functionality."
Oxygen Concentrator,Engage Nepal,,Device reported as non-functional,"The device was thoroughly inspected. The device produced a loud noise frequently which was traced  back to the compressor exhausting the excess air due to overpressure. The zeolite was found to be in a powder form  and unable to fiter and pass the air leading to overpressure . Hence, the seive bed(zeolite) requires replacement or else the device can't be brought back to functionality."
Oxygen Concentrator,Emgage Nepal,,The device was reported as non-functional,"The device was thoroughly inspected. The device produced a loud noise frequently which was traced  back to the compressor exhausting the excess air due to overpressure. The zeolite was found to be in a powder form  and unable to fiter and pass the air leading to overpressure . Hence, the seive bed(zeolite) requires replacement or else the device can't be brought back to functionality."
Oxygen Concentrator,Engage Nepal,,Device was reported as non-functional.,"The device was thoroughly inspected. The device produced a loud noise frequently which was traced  back to the compressor exhausting the excess air due to overpressure. The zeolite was found to be in a powder form  and unable to fiter and pass the air leading to overpressure . Hence, the seive bed(zeolite) requires replacement or else the device can't be brought back to functionality."
Oxygen Concentrator,Engage Nepal,,Device was reported as non-functional.,"The device was thoroughly inspected. The device produced a loud noise frequently which was traced  back to the compressor exhausting the excess air due to overpressure. The zeolite was found to be in a powder form  and unable to fiter and pass the air leading to overpressure . Hence, the seive bed(zeolite) requires replacement or else the device can't be brought back to functionality."
Ultrasound Machine,Sonoscape,E2,Zoom function not working,"The zoom button was found to be stuck due to which it could not be clicked. The button was found to have broken lock due to which the problem had occured. Additionally, the dirt accumulation had been accumulated around the encoder, causing it difficult to move. The button was carefully readjusted and the dirt was cleared. The zoom functionality was restored back."
ECG Machine,Edan,SE-3,Device reported as non-functional,The printouts were found to be blank and the signals had artifacts. The artifacts were traced due to misadjusted settings and gels accumulated in the electrodes. The settings were readjusted and the electrodes were cleaned. The paper was found to be incorrectly positioned which was causing the blank printouts. The paper was also properly repositioned.
Dental Chair ,Confident,Mookambika,Frequent damage of catridge in the air rotors.,"A thorough inspection revealed that when the footswitch was pressed, the air pressure directly went beyond required pressure and was difficult to control using footswitch and the main regulator. The regulator was installed for the air rotor to adjust the air pressure according to the requirement."
Dental Chair,Confident,Mookambika,Frequent damage of catridges in air rotor,"A thorough inspection revealed that when the footswitch was pressed, the air pressure directly went beyond required pressure and was difficult to control using footswitch and the main regulator. The regulator was installed for the air rotor to adjust the air pressure according to the requirement."
Dental Chair ,Mookambika,Confident,Frequent damage of cartidges in air rotor,"A thorough inspection revealed that when the footswitch was pressed, the air pressure directly went beyond required pressure and was difficult to control using footswitch and the main regulator. The regulator was installed for the air rotor to adjust the air pressure according to the requirement."
Sphygomanometer,Tanaka Sangyo,ALP K2,Device reported as non-functional,"Upon inspection, the air release valve was found stuck due to a misaligned spring, which was realigned properly. Additionally, the cuff was also found to be torn, which was repaired. After this, the device was restored back to functionality."
Sphygmomanometer,accumed,N/A,Device reported as non-functional,"Upon inspection, the air leakage was detected from the cuff. The leakage point was properly sealed."
Pulse Oximeter,,,Device reported as non-functional,The device was unable to power on using either rechargeable battery or dry cells. It was assessed thoroughly and the pin connecting batteries to the board was found to be broken which was resoldered back. The power switch also was found to be discontinuous which was repaired. The device powered on successfully.
Dental Chair,Confident,Mookambika,no water supply in the air rotors.,"The water bottle and the pipe associated with the handpieces were assessed. The pipe was found to be blocked and was cleaed out. After this, the water supply as restored."
Autoclave Machine,N/A,Vertical(250L),Device reported as non-functional,"The machine was thoroughly inspected. The machine was unable to be heated. The heater rods were found to be faulty which were replaced. After this, the device was restored back to functionality. "
Infusion Pump,Medcaptain,SYS-6010,Device reported as non-functional,"Upon inspection, it was found that the infusion pump was non-functional due to the door failing to lock, which prevented the infusion process from starting. The device was disassembled for detailed examination and it was observed that the motor controlling the door’s opening and closing mechanism was not operating. The motor connection was reset, restoring its function.

Additionally, the door lock’s sliding mechanism was jammed. The assembly was dismantled, cleaned, realigned, and lubricated to ensure smooth movement. After reassembly, the door locking and unlocking functions were restored. A rate error was also identified and resolved by resetting and lubricating the motor.
The device is now fully functional."
Anesthesia Machine,GE,9100c NXT,O2 calibration Failure,"Upon inspection, the weekly and the monthly O2 calibration was due and as per the staffs, the O2 percentage display was intermittent and the calibration failed. The connection of the connector to the sensor and the machine was found to be the root cause of the problem. After it was made secure, the calibration was successful and the oxygen percentage started being displayed. After this, the machine was restored back to full functionality."
Patient Monitor,Edan,X12,No battery backup,"The device was reported as being off after the AC power was removed. The device was charged but the problem persisted. The battery was removed and checked. The battery was found to be completely drained. Then, the battery pack was replaced with the new one."
EEG Machine,Grass Technologies,AS40,The device was reported as non-functional.,"Upon inspection, the device was found to display repeated error prompts indicating connectivity issues, which interrupted the EEG procedure. The connections were checked and corrected to resolve the problem."
Nebulizer,Rossmax,NE100,The device was reported as non-functional.,The piston was found to be detaqched due to worn out holder in the armature. The holder was repiared and piston was secured properly.
Dental Chair ,Confident,Mookambika,The chair was reported as non-functional using some of the hand  switches.,"The switches were found to be faulty, which were replaced with the new ones. The movements were restored back."
USG Printer,Sony,UP-X898MD,printing issue(intermittent and blank on one side),The device was inspected. The paper was placed properly and the thermal heads were cleaned. The thermal head was readjusted properly but  the problem persisted. The thermal head was verified to be damaged. It was replaced with the new one and now the device has been restored to full functionality.
Electro Surgical Unit,LED Sutron,300 HP,Device was reported as non-functional,The monopolar electrode was not functioning. The ground pads and the electrodes were cross verified and found to be functioning. The device was tested and the problem was verified with the machine. The system was reset and tested. The monopolar started functioning.
Dental Chair,Confident,Mookambika,The chair was not responding to the foot switch ,"Upon inspection, the wire connection in the foot switch was found to be detached which was resoldered. After this, the dental is fully functional."
Air Rotor,Myricko,WJ-122,New installation,"A new air rotor was installed, tested and found to be working properly."
Air Rotor,Myricko,WJ-122,New installation,"A new air rotor was installed, tested and found to be working properly."
Air Rotor,Myricko,WJ-122,New installation,"A new air rotor was installed, tested and found to be working properly."
Air Rotor,Myricko,WJ-122,Burr getting stuck and stopping frequently,The cartridge was found to be damaged and it was replaced.
Dental Chair,,,The machine was reported as non-functional,"Work Done: The device was inspected and found that the light was not functioning and the chair movements were not possible. The power cord was checked and found to be functional. However, the power adapter’s socket was found to have a discontinuity. The socket was resoldered, and the machine was tested. Both the light and the chair movements were restored, and the device is now fully functional."
Autoclave Machine,Recco Surgical,RECC-003,New Installation,"
A new autoclave machine (Model: RECC-003) from Recco Surgical was installed in the Operation Theatre. The installation included proper placement of the unit, verification of electrical and water supply connections, and functional testing to confirm correct operation.

User training was conducted for the OT staff, covering the operating procedure, safety measures, and basic maintenance practices. After successful demonstration and satisfactory performance, the machine was handed over to the department and is now ready for use."
Laproscopic Tower,Secure,,"
The connector for the camera head was loosely fitted.
Low intensity of light during the procedure.","Upon inspection, it was found that the connector for the camera head was loosely fitted to the machine, causing difficulty in connecting and disconnecting the camera and resulting in intermittent image display. The connector was tightened from inside the machine, which resolved the display issue.

Additionally, the light source was checked and found to be functioning; however, the fiber optic cable was damaged, resulting in low light intensity. The damaged fiber optic cable was replaced, after which the light intensity returned to normal.

The machine was tested and verified to be functioning properly and has been restored to full operational condition."
Suction Machine,,ST-SU650,"The device was reported as non-functional.
","
Upon inspection, the suction output was found to be very low. The suction bottles were checked and found to be intact, and the motor was generating adequate vacuum pressure. Further examination revealed air leaks in the connectors, which were properly sealed. The suction pipes were also cleaned thoroughly.

After completing these corrective actions, the device was tested and found to be functioning normally. The suction machine has been restored to full working condition."
